states,state abbreviations,2018-19 med ex,FOOTNOTES med ex,SURVEY TYPE med ex,NO. med ex,"TOTAL KPOP
",2018-19 nonmed ex,FOOTNOTES nonmed ex,SURVEY TYPE nonmed ex,NO. nonmed ex,TOTAL KPOP,exemption rate,FOOTNOTES any ex ,SURVEY TYPE any ex,NO. any ex,TOTAL KPOP
Alabama,AL,0.1,?,Census,62,77739,0.9,?,Census,667,77739,0.8,?,Census,624,77739
Alaska,AK,0.5,?,Voluntary response,51,10316,6.6,?,Voluntary response,680,10316,7.1,?,Voluntary response,731,10316
Arizona,AZ,0.1,<. ?,Census,26,79981,5.9,?,Census,4755,79981,6,?,Census,4781,79981
Arkansas,AR,0,NaN,Census (public). voluntary response (private),15,39257,1.8,NaN,Census (public). voluntary response (private),711,39257,1.8,NaN,Census (public). voluntary response (private),726,39257
California,CA,0.6,?.?,Census,3434,568947,NA,?.?,Census,NaN,568947,0.6,?.?,Census,3434,568947
Colorado,CO,0.2,?,Census,115,64191,4.7,?,Census,3017,64191,4.9,?,Census,3132,64191
Connecticut,CT,0.2,?,Census,86,38230,2.5,?,Census,941,38230,2.7,?,Census,1027,38230
Delaware,DE,0.3,?,Stratified 2-stage cluster sample,28,10798,1,?,Stratified 2-stage cluster sample,106,10798,1.2,?,Stratified 2-stage cluster sample,133,10798
Florida,FL,0.4,?,Census,828,224641,2.9,?,Census,6472,224641,3.2,?,Census,7300,224641
Georgia,GA,0.1,?,Census,124,131275,2.4,?,Census,3116,131275,2.5,?,Census,3240,131275
Hawaii,HI,0.1,?,Stratified 2-stage cluster sample,10,16051,4.4,?,Stratified 2-stage cluster sample,702,16051,4.4,?,Stratified 2-stage cluster sample,712,16051
Idaho,ID,0.4,||,Census,82,22995,7.4,||,Census,1696,22995,7.7,||,Census,1778,22995
Illinois,IL,0.2,?. ?,Census,346,143876,1.5,?. ?,Census,2220,143876,1.8,?. ?,Census,2566,143876
Indiana,IN,0.3,?,Census,252,82324,1,?,Census,783,82324,1.3,?,Census,1035,82324
Iowa,IA,0.2,?,Census,87,40624,2.1,?,Census,873,40624,2.4,?,Census,960,40624
Kansas,KS,0.3,?,Stratified 2-stage cluster sample,122,37838,1.8,?,Stratified 2-stage cluster sample,688,37838,2.1,?,Stratified 2-stage cluster sample,810,37838
Kentucky,KY,0.3,?,Census,140,55587,1.2,?,Census,661,55587,1.4,?,Census,801,55587
Louisiana,LA,0.1,NaN,Census,53,56203,1.1,NaN,Census,618,56203,1.2,NaN,Census,671,56203
Maine,ME,0.6,NaN,Census,79,13419,5.6,NaN,Census,752,13419,6.2,NaN,Census,831,13419
Maryland,MD,0.4,?,Census,299,71431,1.1,?,Census,772,71431,1.5,?,Census,1071,71431
