name,value,year,lastValue,rank
ALABAMA,NA,1,0,1
ALABAMA,NA,2.047619048,NA,1
ALABAMA,NA,3.095238095,NA,2
ALABAMA,NA,4.142857143,NA,2
ALABAMA,NA,5.19047619,NA,3
ALABAMA,NA,6.238095238,NA,7
ALABAMA,NA,7.285714286,NA,8
ALABAMA,NA,8.333333333,NA,8
ALABAMA,NA,9.380952381,NA,8
ALABAMA,NA,10.42857143,NA,9
ALABAMA,NA,11.47619048,NA,9
ALABAMA,NA,12.52380952,NA,9
ALABAMA,NA,13.57142857,NA,9
ALABAMA,NA,14.61904762,NA,9
ALABAMA,NA,15.66666667,NA,10
ALABAMA,NA,16.71428571,NA,12
ALABAMA,NA,17.76190476,NA,14
ALABAMA,NA,18.80952381,NA,14
ALABAMA,NA,19.85714286,NA,15
ALABAMA,NA,20.9047619,NA,15
ALABAMA,NA,21.95238095,NA,17
ALASKA,NA,1,0,2
ALASKA,NA,2.047619048,NA,2
ALASKA,NA,3.095238095,NA,3
ALASKA,NA,4.142857143,NA,3
ALASKA,NA,5.19047619,NA,4
ALASKA,NA,6.238095238,NA,8
ALASKA,NA,7.285714286,NA,9
ALASKA,NA,8.333333333,NA,9
ALASKA,NA,9.380952381,NA,9
ALASKA,NA,10.42857143,NA,10
ALASKA,NA,11.47619048,NA,10
ALASKA,NA,12.52380952,NA,10
ALASKA,NA,13.57142857,NA,10
ALASKA,NA,14.61904762,NA,10
ALASKA,NA,15.66666667,NA,11
ALASKA,NA,16.71428571,NA,13
ALASKA,NA,17.76190476,NA,15
ALASKA,NA,18.80952381,NA,15
ALASKA,NA,19.85714286,NA,16
ALASKA,NA,20.9047619,NA,16
ALASKA,NA,21.95238095,NA,18
CALIFORNIA,NA,1,0,3
CALIFORNIA,NA,2.047619048,NA,3
CALIFORNIA,NA,3.095238095,NA,4
CALIFORNIA,NA,4.142857143,NA,4
CALIFORNIA,NA,5.19047619,NA,5
CALIFORNIA,NA,6.238095238,NA,9
CALIFORNIA,NA,7.285714286,NA,10
CALIFORNIA,NA,8.333333333,NA,10
CALIFORNIA,NA,9.380952381,NA,10
CALIFORNIA,NA,10.42857143,NA,11
CALIFORNIA,NA,11.47619048,NA,11
CALIFORNIA,NA,12.52380952,NA,11
CALIFORNIA,NA,13.57142857,NA,11
CALIFORNIA,NA,14.61904762,NA,11
CALIFORNIA,NA,15.66666667,NA,12
CALIFORNIA,1,16.71428571,NA,11
CALIFORNIA,19,17.76190476,1,2
CALIFORNIA,21,18.80952381,19,2
CALIFORNIA,22,19.85714286,21,2
CALIFORNIA,22,20.9047619,22,2
CALIFORNIA,22,21.95238095,22,2
COLORADO,NA,1,0,4
CONNECTICUT,NA,1,0,5
CONNECTICUT,NA,2.047619048,NA,4
CONNECTICUT,NA,3.095238095,NA,5
CONNECTICUT,NA,4.142857143,NA,5
CONNECTICUT,NA,5.19047619,NA,6
CONNECTICUT,2,6.238095238,NA,4
CONNECTICUT,2,7.285714286,2,5
CONNECTICUT,2,8.333333333,2,6
CONNECTICUT,2,9.380952381,2,6
CONNECTICUT,2,10.42857143,2,6
CONNECTICUT,2,11.47619048,2,7
CONNECTICUT,2,12.52380952,2,7
CONNECTICUT,2,13.57142857,2,7
CONNECTICUT,2,14.61904762,2,7
CONNECTICUT,2,15.66666667,2,8
CONNECTICUT,2,16.71428571,2,9
CONNECTICUT,2,17.76190476,2,12
CONNECTICUT,2,18.80952381,2,12
CONNECTICUT,2,19.85714286,2,12
CONNECTICUT,2,20.9047619,2,13
CONNECTICUT,2,21.95238095,2,13
FLORIDA,NA,1,0,6
FLORIDA,NA,2.047619048,NA,5
FLORIDA,NA,3.095238095,NA,6
FLORIDA,NA,4.142857143,NA,6
FLORIDA,NA,5.19047619,NA,7
FLORIDA,NA,6.238095238,NA,10
FLORIDA,NA,7.285714286,NA,11
FLORIDA,NA,8.333333333,NA,11
FLORIDA,NA,9.380952381,NA,11
FLORIDA,NA,10.42857143,NA,12
FLORIDA,NA,11.47619048,NA,12
FLORIDA,NA,12.52380952,NA,12
FLORIDA,NA,13.57142857,NA,12
FLORIDA,NA,14.61904762,NA,12
FLORIDA,NA,15.66666667,NA,13
FLORIDA,NA,16.71428571,NA,14
FLORIDA,NA,17.76190476,NA,16
FLORIDA,NA,18.80952381,NA,16
FLORIDA,NA,19.85714286,NA,17
FLORIDA,NA,20.9047619,NA,17
FLORIDA,1,21.95238095,NA,16
GEORGIA,NA,1,0,7
GEORGIA,NA,2.047619048,NA,6
GEORGIA,NA,3.095238095,NA,7
GEORGIA,NA,4.142857143,NA,7
GEORGIA,NA,5.19047619,NA,8
GEORGIA,NA,6.238095238,NA,11
GEORGIA,NA,7.285714286,NA,12
GEORGIA,NA,8.333333333,NA,12
GEORGIA,NA,9.380952381,NA,12
GEORGIA,NA,10.42857143,NA,13
GEORGIA,NA,11.47619048,NA,13
GEORGIA,NA,12.52380952,NA,13
GEORGIA,NA,13.57142857,NA,13
GEORGIA,NA,14.61904762,NA,13
GEORGIA,NA,15.66666667,NA,14
GEORGIA,NA,16.71428571,NA,15
GEORGIA,3,17.76190476,NA,9
GEORGIA,3,18.80952381,3,9
GEORGIA,3,19.85714286,3,9
GEORGIA,3,20.9047619,3,10
GEORGIA,3,21.95238095,3,10
ILLINOIS,NA,1,0,8
ILLINOIS,NA,2.047619048,NA,7
ILLINOIS,NA,3.095238095,NA,8
ILLINOIS,NA,4.142857143,NA,8
ILLINOIS,NA,5.19047619,NA,9
ILLINOIS,NA,6.238095238,NA,12
ILLINOIS,1,7.285714286,NA,7
ILLINOIS,2,8.333333333,1,5
ILLINOIS,3,9.380952381,2,4
ILLINOIS,3,10.42857143,3,4
ILLINOIS,4,11.47619048,3,4
ILLINOIS,4,12.52380952,4,4
ILLINOIS,4,13.57142857,4,4
ILLINOIS,4,14.61904762,4,4
ILLINOIS,4,15.66666667,4,5
ILLINOIS,4,16.71428571,4,7
ILLINOIS,4,17.76190476,4,8
ILLINOIS,4,18.80952381,4,8
ILLINOIS,4,19.85714286,4,8
ILLINOIS,4,20.9047619,4,8
ILLINOIS,4,21.95238095,4,8
KENTUCKY,NA,1,0,9
KENTUCKY,NA,2.047619048,NA,8
KENTUCKY,NA,3.095238095,NA,9
KENTUCKY,NA,4.142857143,NA,9
KENTUCKY,NA,5.19047619,NA,10
KENTUCKY,NA,6.238095238,NA,13
KENTUCKY,NA,7.285714286,NA,13
KENTUCKY,NA,8.333333333,NA,13
KENTUCKY,NA,9.380952381,NA,13
KENTUCKY,1,10.42857143,NA,8
KENTUCKY,1,11.47619048,1,8
KENTUCKY,1,12.52380952,1,8
KENTUCKY,1,13.57142857,1,8
KENTUCKY,1,14.61904762,1,8
KENTUCKY,1,15.66666667,1,9
KENTUCKY,1,16.71428571,1,10
KENTUCKY,1,17.76190476,1,13
KENTUCKY,1,18.80952381,1,13
KENTUCKY,1,19.85714286,1,14
KENTUCKY,1,20.9047619,1,14
KENTUCKY,1,21.95238095,1,15
MARYLAND,NA,1,0,10
MARYLAND,NA,2.047619048,NA,9
MARYLAND,NA,3.095238095,NA,10
MARYLAND,NA,4.142857143,NA,10
MARYLAND,NA,5.19047619,NA,11
MARYLAND,NA,6.238095238,NA,14
MARYLAND,NA,7.285714286,NA,14
MARYLAND,NA,8.333333333,NA,14
MARYLAND,NA,9.380952381,NA,14
MARYLAND,NA,10.42857143,NA,14
MARYLAND,NA,11.47619048,NA,14
MARYLAND,NA,12.52380952,NA,14
MARYLAND,NA,13.57142857,NA,14
MARYLAND,NA,14.61904762,NA,14
MARYLAND,NA,15.66666667,NA,15
MARYLAND,NA,16.71428571,NA,16
MARYLAND,2,17.76190476,NA,11
MARYLAND,2,18.80952381,2,11
MARYLAND,2,19.85714286,2,11
MARYLAND,2,20.9047619,2,12
MARYLAND,2,21.95238095,2,12
NEW ENGLAND,NA,1,0,11
NEW ENGLAND,NA,2.047619048,NA,10
NEW ENGLAND,NA,3.095238095,NA,11
NEW ENGLAND,NA,4.142857143,NA,11
NEW ENGLAND,NA,5.19047619,NA,12
NEW ENGLAND,2,6.238095238,NA,3
NEW ENGLAND,2,7.285714286,2,4
NEW ENGLAND,2,8.333333333,2,4
NEW ENGLAND,2,9.380952381,2,5
NEW ENGLAND,2,10.42857143,2,5
NEW ENGLAND,2,11.47619048,2,6
NEW ENGLAND,2,12.52380952,2,6
NEW ENGLAND,2,13.57142857,2,6
NEW ENGLAND,2,14.61904762,2,6
NEW ENGLAND,2,15.66666667,2,7
NEW ENGLAND,2,16.71428571,2,8
NEW ENGLAND,2,17.76190476,2,10
NEW ENGLAND,2,18.80952381,2,10
NEW ENGLAND,2,19.85714286,2,10
NEW ENGLAND,2,20.9047619,2,11
NEW ENGLAND,2,21.95238095,2,11
NEW JERSEY,NA,1,0,12
NEW JERSEY,NA,2.047619048,NA,11
NEW JERSEY,NA,3.095238095,NA,12
NEW JERSEY,NA,4.142857143,NA,12
NEW JERSEY,NA,5.19047619,NA,13
NEW JERSEY,NA,6.238095238,NA,15
NEW JERSEY,NA,7.285714286,NA,15
NEW JERSEY,NA,8.333333333,NA,15
NEW JERSEY,NA,9.380952381,NA,15
NEW JERSEY,NA,10.42857143,NA,15
NEW JERSEY,NA,11.47619048,NA,15
NEW JERSEY,NA,12.52380952,NA,15
NEW JERSEY,NA,13.57142857,NA,15
NEW JERSEY,NA,14.61904762,NA,15
NEW JERSEY,NA,15.66666667,NA,16
NEW JERSEY,5,16.71428571,NA,6
NEW JERSEY,6,17.76190476,5,7
NEW JERSEY,7,18.80952381,6,7
NEW JERSEY,7,19.85714286,7,7
NEW JERSEY,8,20.9047619,7,7
NEW JERSEY,8,21.95238095,8,7
NEW YORK,NA,1,0,13
NEW YORK,NA,2.047619048,NA,12
NEW YORK,NA,3.095238095,NA,13
NEW YORK,NA,4.142857143,NA,13
NEW YORK,NA,5.19047619,NA,14
NEW YORK,1,6.238095238,NA,6
NEW YORK,1,7.285714286,1,6
NEW YORK,1,8.333333333,1,7
NEW YORK,1,9.380952381,1,7
NEW YORK,1,10.42857143,1,7
NEW YORK,3,11.47619048,1,5
NEW YORK,3,12.52380952,3,5
NEW YORK,3,13.57142857,3,5
NEW YORK,3,14.61904762,3,5
NEW YORK,11,15.66666667,3,2
NEW YORK,11,16.71428571,11,3
NEW YORK,12,17.76190476,11,4
NEW YORK,12,18.80952381,12,4
NEW YORK,19,19.85714286,12,3
NEW YORK,19,20.9047619,19,3
NEW YORK,19,21.95238095,19,4
NEW YORK CITY,NA,1,0,14
NEW YORK CITY,NA,2.047619048,NA,13
NEW YORK CITY,2,3.095238095,NA,1
NEW YORK CITY,5,4.142857143,2,1
NEW YORK CITY,7,5.19047619,5,1
NEW YORK CITY,7,6.238095238,7,1
NEW YORK CITY,12,7.285714286,7,1
NEW YORK CITY,31,8.333333333,12,1
NEW YORK CITY,47,9.380952381,31,1
NEW YORK CITY,65,10.42857143,47,1
NEW YORK CITY,65,11.47619048,65,1
NEW YORK CITY,99,12.52380952,65,1
NEW YORK CITY,102,13.57142857,99,1
NEW YORK CITY,102,14.61904762,102,1
NEW YORK CITY,126,15.66666667,102,1
NEW YORK CITY,128,16.71428571,126,1
