name,value,year,lastValue,rank
US RESIDENTS,,1,a,b
NEW ENGLAND,,1,a,b
MIDDDLE ATLANTIC,,1,a,b
NEW YORK CITY,,1,a,b
EAST NORTH CENTRAL,,1,a,b
WEST NORTH CENTRAL,,1,a,b
SOUTH ATLANTIC,,1,a,b
EAST SOUTH CENTRAL,,1,a,b
WEST SOUTH CENTRAL,,1,a,b
MOUNTAIN,,1,a,b
PACIFIC,,1,a,b
US TERRITORIES,,1,a,b
AMERICAN SAMOA,,1,a,b
NON-US RESIDENTS,,1,a,b
TOTAL,,1,a,b
NEBRASKA,,1,a,b
OKLAHOMA,,1,a,b
UTAH,,1,a,b
OREGON,,1,a,b
WASHINGTON,,1,a,b
GUAM,,1,a,b
MISSOURI,,1,a,b
IOWA,,1,a,b
NEW YORK,,1,a,b
DISTRICT OF COLUMBIA,,1,a,b
VERMONT,,1,a,b
CALIFORNIA,,1,a,b
NORTH DAKOTA,,1,a,b
TEXAS,,1,a,b
SOUTH DAKOTA,,1,a,b
CONNECTICUT,,1,a,b
PUERTO RICO,,1,a,b
MARYLAND,,1,a,b
FLORIDA,,1,a,b
NEW MEXICO,,1,a,b
TENNESSEE,,1,a,b
NEW JERSEY,,1,a,b
NEW HAMPSHIRE,,1,a,b
NORTH CAROLINA,,1,a,b
MINNESOTA,,1,a,b
NORTHERN MARIANA ISLANDS,,1,a,b
NEVADA,,1,a,b
OHIO,,1,a,b
INDIANA,,1,a,b
MAINE,,1,a,b
VIRGINIA,,1,a,b
DELAWARE,,1,a,b
KANSAS,,1,a,b
KENTUCKY,,1,a,b
IDAHO,,1,a,b
SOUTH CAROLINA,,1,a,b
LOUISIANA,,1,a,b
MASSACHUSETTS,,1,a,b
ILLINOIS,,1,a,b
MICHIGAN,,1,a,b
WYOMING,,1,a,b
PENNSYLVANIA,,1,a,b
ARIZONA,,1,a,b
RHODE ISLAND,,1,a,b
WEST VIRGINIA,,1,a,b
ALABAMA,,1,a,b
U.S. VIRGIN ISLANDS,,1,a,b
MISSISSIPPI,,1,a,b
WISCONSIN,,1,a,b
ARKANSAS,,1,a,b
HAWAII,,1,a,b
ALASKA,,1,a,b
GEORGIA,,1,a,b
COLORADO,,1,a,b
MONTANA,,1,a,b
COLORADO,,2,a,b
IDAHO,,2,a,b
MARYLAND,,2,a,b
CONNECTICUT,,2,a,b
ALASKA,,2,a,b
MICHIGAN,,2,a,b
NEW JERSEY,,2,a,b
NON-US RESIDENTS,,2,a,b
NEW YORK CITY,,2,a,b
LOUISIANA,,2,a,b
CALIFORNIA,,2,a,b
WEST NORTH CENTRAL,,2,a,b
KANSAS,,2,a,b
NEW ENGLAND,,2,a,b
SOUTH DAKOTA,,2,a,b
DELAWARE,,2,a,b
DISTRICT OF COLUMBIA,,2,a,b
WISCONSIN,,2,a,b
TOTAL,,2,a,b
WYOMING,,2,a,b
ILLINOIS,,2,a,b
MOUNTAIN,,2,a,b
SOUTH CAROLINA,,2,a,b
MISSOURI,,2,a,b
PUERTO RICO,,2,a,b
U.S. VIRGIN ISLANDS,,2,a,b
NEBRASKA,,2,a,b
OREGON,,2,a,b
AMERICAN SAMOA,,2,a,b
VIRGINIA,,2,a,b
IOWA,,2,a,b
OKLAHOMA,,2,a,b
MIDDDLE ATLANTIC,,2,a,b
WEST VIRGINIA,,2,a,b
HAWAII,,2,a,b
NORTH CAROLINA,,2,a,b
FLORIDA,,2,a,b
MISSISSIPPI,,2,a,b
ARKANSAS,,2,a,b
MAINE,,2,a,b
ARIZONA,,2,a,b
WEST SOUTH CENTRAL,,2,a,b
INDIANA,,2,a,b
GEORGIA,,2,a,b
SOUTH ATLANTIC,,2,a,b
ALABAMA,,2,a,b
TEXAS,,2,a,b
OHIO,,2,a,b
