size,path
,d3
,d3/AFR
,d3/AMR
,d3/EMR
,d3/EUR
,d3/SEAR
,d3/WPR
2962,d3/AFR/Angola
30,d3/AFR/Burundi
502,d3/AFR/Benin
767,d3/AFR/Burkina Faso
0,d3/AFR/Botswana
419,d3/AFR/Central African Republic
428,d3/AFR/Cote d'Ivoire
2849,d3/AFR/Cameroon
13418,d3/AFR/Democratic Republic of the Congo
108,d3/AFR/Congo
55,d3/AFR/Comoros
1,d3/AFR/Cabo Verde
2657,d3/AFR/Algeria
5,d3/AFR/Eritrea
3255,d3/AFR/Ethiopia
77,d3/AFR/Gabon
1288,d3/AFR/Ghana
1148,d3/AFR/Guinea
2,d3/AFR/Gambia
0,d3/AFR/Guinea-Bissau
42,d3/AFR/Equatorial Guinea
575,d3/AFR/Kenya
1044,d3/AFR/Liberia
6,d3/AFR/Lesotho
127579,d3/AFR/Madagascar
842,d3/AFR/Mali
917,d3/AFR/Mozambique
161,d3/AFR/Mauritania
0,d3/AFR/Mauritius
18,d3/AFR/Malawi
18,d3/AFR/Namibia
2573,d3/AFR/Niger
27990,d3/AFR/Nigeria
45,d3/AFR/Rwanda
298,d3/AFR/Senegal
132,d3/AFR/Sierra Leone
1471,d3/AFR/South Sudan
0,d3/AFR/Sao Tome and Principe
0,d3/AFR/Kingdom of Eswatini
0,d3/AFR/Seychelles
1767,d3/AFR/Chad
156,d3/AFR/Togo
778,d3/AFR/United Republic of Tanzania
907,d3/AFR/Uganda
267,d3/AFR/South Africa
124,d3/AFR/Zambia
2,d3/AFR/Zimbabwe
64,d3/AMR/Argentina
0,d3/AMR/Antigua and Barbuda
3,d3/AMR/Bahamas
0,d3/AMR/Belize
0,d3/AMR/Bolivia (Plurinational State of)
17211,d3/AMR/Brazil
0,d3/AMR/Barbados
113,d3/AMR/Canada
11,d3/AMR/Chile
230,d3/AMR/Colombia
10,d3/AMR/Costa Rica
1,d3/AMR/Cuba
0,d3/AMR/Dominica
0,d3/AMR/Dominican Republic
0,d3/AMR/Ecuador
0,d3/AMR/Grenada
0,d3/AMR/Guatemala
0,d3/AMR/Guyana
0,d3/AMR/Honduras
0,d3/AMR/Haiti
0,d3/AMR/Jamaica
0,d3/AMR/Saint Kitts and Nevis
1,d3/AMR/Saint Lucia
20,d3/AMR/Mexico
0,d3/AMR/Nicaragua
0,d3/AMR/Panama
2,d3/AMR/Peru
0,d3/AMR/Paraguay
0,d3/AMR/El Salvador
0,d3/AMR/Suriname
0,d3/AMR/Trinidad and Tobago
9,d3/AMR/Uruguay
1282,d3/AMR/United States of America
0,d3/AMR/Saint Vincent and the Grenadines
552,d3/AMR/Venezuela (Bolivarian Republic of)
177,d3/EMR/Afghanistan
169,d3/EMR/United Arab Emirates
0,d3/EMR/Bahrain
0,d3/EMR/Djibouti
15,d3/EMR/Egypt
5,d3/EMR/Iran (Islamic Republic of)
1222,d3/EMR/Iraq
41,d3/EMR/Jordan
12,d3/EMR/Kuwait
1063,d3/EMR/Lebanon
153,d3/EMR/Libya
5,d3/EMR/Morocco
12,d3/EMR/Oman
2068,d3/EMR/Pakistan
4,d3/EMR/Qatar
933,d3/EMR/Saudi Arabia
3431,d3/EMR/Sudan
185,d3/EMR/Somalia
26,d3/EMR/Syrian Arab Republic
1367,d3/EMR/Tunisia
8408,d3/EMR/Yemen
481,d3/EUR/Albania
0,d3/EUR/Andorra
7,d3/EUR/Armenia
148,d3/EUR/Austria
